"ENSEMBL_clean","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL","SYMBOL","GENENAME","ENTREZID"
"ENSG00000164270",45.7143211857848,-1.10700749054529,0.251107459409371,-4.40850101844478,1.04088531082582e-05,0.000129533261207042,"ENSG00000164270.13","HTR4","5-hydroxytryptamine receptor 4","3360"
"ENSG00000164600",1145.6477320634,-1.08609753624699,0.280716336534478,-3.86902148145407,0.000109273015536393,0.000772261102988361,"ENSG00000164600.4","NEUROD6","neuronal differentiation 6","63974"
"ENSG00000164761",134.988305079493,1.39851164402817,0.325687324882214,4.29403153633303,1.75457535291975e-05,0.000192516228908267,"ENSG00000164761.4","TNFRSF11B","TNF receptor superfamily member 11b","4982"
"ENSG00000164867",360.620219556753,1.11426932635737,0.218847488488281,5.09153353348644,3.55179039086092e-07,1.15614259369965e-05,"ENSG00000164867.6","NOS3","nitric oxide synthase 3","4846"
"ENSG00000164949",259.064840176624,1.10008998248417,0.214560574734939,5.12717671381699,2.94119425049815e-07,1.01090612324058e-05,"ENSG00000164949.3","GEM","GTP binding protein overexpressed in skeletal muscle","2669"
"ENSG00000165899",207.935779362735,-1.04230583590459,0.259494676356658,-4.01667521869316,5.90249816753665e-05,0.000485326260917662,"ENSG00000165899.6","OTOGL","otogelin like","283310"
"ENSG00000165985",557.383674038969,-1.08584847409931,0.342506838336536,-3.17029721033596,0.001522830870117,0.00583845618355944,"ENSG00000165985.8","C1QL3","complement C1q like 3","389941"
"ENSG00000166523",35.9444035946763,1.25595266142995,0.408558373557584,3.07410823695412,0.00211132817217727,0.00753280872261227,"ENSG00000166523.3","CLEC4E","C-type lectin domain family 4 member E","26253"
"ENSG00000166592",134.151069563859,1.85534048824861,0.319607437787453,5.80506042378918,6.43427959132821e-09,7.08469004898594e-07,"ENSG00000166592.7","RRAD","RRAD, Ras related glycolysis inhibitor and calcium channel regulator","6236"
"ENSG00000166825",80.0973085744385,1.35926001174669,0.224912499019372,6.04350588639191,1.50800871441619e-09,2.75103875472783e-07,"ENSG00000166825.9","ANPEP","alanyl aminopeptidase, membrane","290"
"ENSG00000166928",67.9937611739717,1.13170880115707,0.253974285265102,4.45599758249453,8.35039727420574e-06,0.000111614287559653,"ENSG00000166928.6","MS4A14","membrane spanning 4-domains A14","84689"
